SYS,seg_id,set_id,metric,score
JECS,404f859482d47c127868964a9a39d1a7645dd2e9,288,chrFpp,38.87489702495568
JECS,4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,327,chrFpp,50.36796121232481
JECS,5139ccfabee55ddb83e7937f5802c0a67aee8975,365,chrFpp,51.63201331145784
JECS,88c2481234e763c9bbc68d0ab1be1d2375c1349a,580,chrFpp,55.42539191616488
JECS,a02e362c5b8f049848ce718b37b96117485461cf,677,chrFpp,49.82455019655107
JECS,b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,748,chrFpp,38.23451620088939
JECS,b8b6e729fff27c4eef87887e61d3448de9c063f6,775,chrFpp,54.84600177444119
JECS,bcdb32ae644040a721da880fff9c1d502048cd8b,790,chrFpp,50.69649756337964
JECS,c05bda9b387ec8ae43803170b6f59b4b82505db9,804,chrFpp,41.085657643099665
JECS,d75b043ebefc3098aea84d92bb8bec0f509b1563,892,chrFpp,49.07559304000096
JECS,e2bccd4dec93c9bb7b327827dae004c2d494ec31,933,chrFpp,38.63339747397247
JECS,e49792c337d3f4c13e22f710efa44cf6a4e59aba,940,chrFpp,39.686064044319664
JECS,fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,1065,chrFpp,58.316093878827466
JECS,02c955067d00f38b6978b805d5a8701a787f78ac,1193,chrFpp,45.95058759047017
JECS,03e271b4305517e02c9ead82d57327d32b99102e,1253,chrFpp,36.49798688325026
JECS,051db270afc32571a08c15124330efe89d80fea8,1310,chrFpp,45.47039557966428
JECS,0783c68a744df6afa009d16e72709f2b4d90dea1,1423,chrFpp,54.121005910523856
JECS,096e418a953af86df0d1560bec95bc7bfee2e34b,1507,chrFpp,49.624122015188654
JECS,0cd10ad50ceef529d96a255ed12ac9cd001ba9db,1631,chrFpp,44.29804506285046
JECS,0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,1633,chrFpp,48.48913161597287
JECS,0f0789390d67698283cc87b2e046b5c5cd77edb7,1728,chrFpp,46.59668234946424
JECS,130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,1891,chrFpp,50.33322522714294
JECS,14c813567696f4e63a39993c09d4edb454036179,1957,chrFpp,43.635351958321344
JECS,155754e1f2bc83f6836af78703edd4d00f19f381,1988,chrFpp,43.26144432202176
JECS,1747dcd6a007ee97954b6b10cde549bf82f6a4eb,2067,chrFpp,42.28252107264812
JECS,1749a22e2b6facaa057213cb9b33261b319bbd2b,2068,chrFpp,47.37242192703999
JECS,18243373494a1722ddcd162ec67b63dd749633ab,2113,chrFpp,38.08233080397036
JECS,207df192edc1836250b69d1bc5b9e6a38206eb78,2436,chrFpp,63.27737413160991
JECS,2377095dda83df778e34304b7a09813808105d3b,2544,chrFpp,37.07027776547852
JECS,23e8c1d71474d239aa9ae37b9a05031b0054b8ce,2559,chrFpp,44.82945808769011
JECS,26e4e19d945cedcb489f28808c730658139c9415,2672,chrFpp,36.737657196806985
JECS,2a48112ddee712f2364f128076cb2db555a043b1,2802,chrFpp,48.87927164166205
JECS,2abe0f81f5b22c8a406165717e3bd7fce6fe47c6,2829,chrFpp,49.61430703034526
JECS,2c37d44d03ce2e91310339d884d33ee5aabf9abc,2890,chrFpp,40.76044843538
JECS,2c6695b438980783754f7db28129ec2fbb3e6e21,2902,chrFpp,41.86818677398577
JECS,2cf8c2d1d2ceb1980249f77e703f9039e63799d0,2925,chrFpp,47.48561159951674
JECS,2cfc33d01364162579f46b2764914a03a29453ce,2926,chrFpp,31.314869071978098
JECS,2feca9acf532e33f1ab7442c442c8e19787d8d7b,3046,chrFpp,35.19910996816812
JECS,31114653cd606fd3f4b1035f98dedd71f8282cd2,3098,chrFpp,37.80809223039536
JECS,36352fd1c61fd0c593ee7b84cbe213aa9b444439,3288,chrFpp,46.27539705636744
