SYS,seg_id,set_id,metric,score
BART,404f859482d47c127868964a9a39d1a7645dd2e9,288,chrFpp,42.14731762794652
BART,4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,327,chrFpp,44.85289915937604
BART,5139ccfabee55ddb83e7937f5802c0a67aee8975,365,chrFpp,50.717011563537554
BART,88c2481234e763c9bbc68d0ab1be1d2375c1349a,580,chrFpp,53.95471110952247
BART,a02e362c5b8f049848ce718b37b96117485461cf,677,chrFpp,36.76740860593677
BART,b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,748,chrFpp,38.78442564233725
BART,b8b6e729fff27c4eef87887e61d3448de9c063f6,775,chrFpp,34.90228412786201
BART,bcdb32ae644040a721da880fff9c1d502048cd8b,790,chrFpp,46.69684061555063
BART,c05bda9b387ec8ae43803170b6f59b4b82505db9,804,chrFpp,39.88497339221829
BART,d75b043ebefc3098aea84d92bb8bec0f509b1563,892,chrFpp,56.31088781384089
BART,e2bccd4dec93c9bb7b327827dae004c2d494ec31,933,chrFpp,33.59728879531758
BART,e49792c337d3f4c13e22f710efa44cf6a4e59aba,940,chrFpp,37.09402021279901
BART,fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,1065,chrFpp,33.414779787654865
BART,02c955067d00f38b6978b805d5a8701a787f78ac,1193,chrFpp,36.0957702083221
BART,03e271b4305517e02c9ead82d57327d32b99102e,1253,chrFpp,33.829063752933365
BART,051db270afc32571a08c15124330efe89d80fea8,1310,chrFpp,38.78530513492621
BART,0783c68a744df6afa009d16e72709f2b4d90dea1,1423,chrFpp,55.87963043828592
BART,096e418a953af86df0d1560bec95bc7bfee2e34b,1507,chrFpp,38.21086759663234
BART,0cd10ad50ceef529d96a255ed12ac9cd001ba9db,1631,chrFpp,45.61734977279701
BART,0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,1633,chrFpp,42.59085521314796
BART,0f0789390d67698283cc87b2e046b5c5cd77edb7,1728,chrFpp,51.50767844490275
BART,130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,1891,chrFpp,48.00808578350843
BART,14c813567696f4e63a39993c09d4edb454036179,1957,chrFpp,33.968852939037085
BART,155754e1f2bc83f6836af78703edd4d00f19f381,1988,chrFpp,41.99265522328718
BART,1747dcd6a007ee97954b6b10cde549bf82f6a4eb,2067,chrFpp,47.57334906735131
BART,1749a22e2b6facaa057213cb9b33261b319bbd2b,2068,chrFpp,50.712027577078246
BART,18243373494a1722ddcd162ec67b63dd749633ab,2113,chrFpp,38.23399514863956
BART,207df192edc1836250b69d1bc5b9e6a38206eb78,2436,chrFpp,41.66367598745577
BART,2377095dda83df778e34304b7a09813808105d3b,2544,chrFpp,34.67836119717468
BART,23e8c1d71474d239aa9ae37b9a05031b0054b8ce,2559,chrFpp,46.31783187361454
BART,26e4e19d945cedcb489f28808c730658139c9415,2672,chrFpp,38.87525679558671
BART,2a48112ddee712f2364f128076cb2db555a043b1,2802,chrFpp,47.33330808835891
